"
                                Use in posting data from Magento to Postfinance. <br/>
                                Use in data checking by Postfinance before the payment.
                            ","
                                Use in posting data from Magento to PostFinance. <br/>
                                Use in data checking by PostFinance before the payment.
                            "
"
                                Use in posting data from Postfinance to Magento. <br/>
                                Use in Feedback data checking by Magento
                            ","
                                Use in posting data from PostFinance to Magento. <br/>
                                Use in Feedback data checking by Magento
                            "
"Authorization","Authorization"
"Authorization Waiting from Postfinance","Authorization Waiting from PostFinance"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Authorization not known: A technical problem arose during authorization process, giving unpredictable result"
"Background color of Postfinance Template","Background color of PostFinance Template"
"Button background color of the Postfinance Template","Button background color of the PostFinance Template"
"Button text color of the Postfinance Template","Button text color of the PostFinance Template"
"Cancelled Postfinance","Cancelled PostFinance"
"Debug","Debug"
"Declined Postfinance","Declined PostFinance"
"Declined Order on Postfinance side","Declined Order on PostFinance side"
"Direct Sale","Direct Sale"
"Enabled","Enabled"
"Exception not defined","Exception not defined"
"Font Family of the Postfinance Template","Font Family of the PostFinance Template"
"For production, replace ""test"" with ""prod"" Example: https://e-payment.postfinance.ch/ncol/prod/orderstandard.asp","For production, replace ""test"" with ""prod"" Example: https://e-payment.postfinance.ch/ncol/prod/orderstandard.asp"
"Gateway URL","Gateway URL"
"Hash is not valid","Hash is not valid"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"If you choose ""No Operation"", Postfinance will use default Payment procedure setup in Postfinance configuration","If you choose ""No Operation"", PostFinance will use default Payment procedure setup in PostFinance configuration"
"If you choose ""Postfinance Template"", you will need to fill in all the following fields.","If you choose ""PostFinance Template"", you will need to fill in all the following fields."
"Layout of Payment Methods","Layout of Payment Methods"
"Logo of the Postfinance Template","Logo of the PostFinance Template"
"Magento","Magento"
"Postfinance","PostFinance"
"Postfinance default Operation","PostFinance default Operation"
"Order can not be canceled for system reason","Order can not be canceled for system reason"
"Order can not be save for system reason","Order can not be save for system reason"
"Order can\'t save","Order can\'t save"
"Order canceled on Postfinance side","Order canceled on PostFinance side"
"Order is not valid","Order is not valid"
"PSPID","PSPID Test"
"Payment Action","Payment Action"
"Payment Template","Payment Template"
"Payment transaction has been declined.","Payment transaction has been declined."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Payment uncertain: A technical problem arose during payment process, giving unpredictable result"
"Pending Postfinance","Pending PostFinance"
"Please, wait a moment. This page will transfer your data to Postfinance payment gateway in a few seconds.","Bitte warten Sie einen Moment. Diese Seite wird Ihre Daten in wenigen Sekunden an das PostFinance Gateway übertragen."
"Processed Postfinance Payment","Processed PostFinance Payment"
"Processed by Postfinance","Processed by PostFinance"
"Processing Postfinance Payment","Processing PostFinance Payment"
"SHA Signature (used by Magento)","SHA Signature (used by Magento)"
"SHA Signature (used by Postfinance)","SHA Signature (used by PostFinance)"
"Start Postfinance processing","Start PostFinance processing"
"Table background color of the Postfinance Template","Table background color of the PostFinance Template"
"Table text color of the Postfinance Template","Table text color of the PostFinance Template"
"Text Color of the Postfinance Template","Text Color of the PostFinance Template"
"Title","Title"
"Title of the Postfinance Template","Title of the PostFinance Template"
"URL/filename of the logo.
                            <br />The URL must be absolute and stored on a secure server.
                            ","URL/filename of the logo.
                            <br />The URL must be absolute and stored on a secure server.
                            "
"Unknown exception","Unknown exception"
"Verical list","Verical list"
"Waiting Authorization","Waiting Authorization"
"You can arrange the layout/list of the payment methods on Postfinance payment page","You can arrange the layout/list of the payment methods on PostFinance payment page"
"You will be redirected to Postfinance website when you place an order.","Sie werden zur sicheren Zahlung auf die PostFinance Webseite weitergeleitet."
"e.g: Verdana","e.g: Verdana"
"e.g: black","e.g: black"
"e.g: white","e.g: white"
